Model Params: 30.03M
Trainable Params: 30.025M
Epoch:[1/1](920/5000), loss: 5.7419, logits_loss: 5.7419, aux_loss: 0.0000, lr: 0.00018538, epoch_time: 66.0min
Epoch:[1/1](940/5000), loss: 5.6614, logits_loss: 5.6614, aux_loss: 0.0000, lr: 0.00018475, epoch_time: 65.0min
Epoch:[1/1](960/5000), loss: 5.6367, logits_loss: 5.6367, aux_loss: 0.0000, lr: 0.00018412, epoch_time: 65.0min
Epoch:[1/1](980/5000), loss: 5.7183, logits_loss: 5.7183, aux_loss: 0.0000, lr: 0.00018347, epoch_time: 65.0min
Epoch:[1/1](1000/5000), loss: 5.7581, logits_loss: 5.7581, aux_loss: 0.0000, lr: 0.00018281, epoch_time: 65.0min
Epoch:[1/1](1020/5000), loss: 5.7497, logits_loss: 5.7497, aux_loss: 0.0000, lr: 0.00018214, epoch_time: 64.0min
Epoch:[1/1](1040/5000), loss: 5.7832, logits_loss: 5.7832, aux_loss: 0.0000, lr: 0.00018146, epoch_time: 64.0min
Epoch:[1/1](1060/5000), loss: 5.5328, logits_loss: 5.5328, aux_loss: 0.0000, lr: 0.00018077, epoch_time: 126.0min
Epoch:[1/1](1080/5000), loss: 5.0307, logits_loss: 5.0307, aux_loss: 0.0000, lr: 0.00018006, epoch_time: 125.0min
Epoch:[1/1](1100/5000), loss: 5.5745, logits_loss: 5.5745, aux_loss: 0.0000, lr: 0.00017935, epoch_time: 123.0min
Epoch:[1/1](1120/5000), loss: 5.3300, logits_loss: 5.3300, aux_loss: 0.0000, lr: 0.00017862, epoch_time: 136.0min
Epoch:[1/1](1140/5000), loss: 5.4287, logits_loss: 5.4287, aux_loss: 0.0000, lr: 0.00017788, epoch_time: 134.0min
Epoch:[1/1](1160/5000), loss: 5.2206, logits_loss: 5.2206, aux_loss: 0.0000, lr: 0.00017713, epoch_time: 155.0min
Epoch:[1/1](1180/5000), loss: 5.2525, logits_loss: 5.2525, aux_loss: 0.0000, lr: 0.00017638, epoch_time: 206.0min
Epoch:[1/1](1200/5000), loss: 5.6162, logits_loss: 5.6162, aux_loss: 0.0000, lr: 0.00017561, epoch_time: 217.0min
Epoch:[1/1](1220/5000), loss: 5.4972, logits_loss: 5.4972, aux_loss: 0.0000, lr: 0.00017483, epoch_time: 213.0min
Epoch:[1/1](1240/5000), loss: 5.6987, logits_loss: 5.6987, aux_loss: 0.0000, lr: 0.00017404, epoch_time: 209.0min
Epoch:[1/1](1260/5000), loss: 5.2472, logits_loss: 5.2472, aux_loss: 0.0000, lr: 0.00017324, epoch_time: 205.0min
