precision: device_type=cpu requested_dtype=fp32 effective_dtype=float32
Model Params: 64.21M
Trainable Params: 64.205M
packed: /Users/leonskennedy/AI coding open/侧端大模型/lab/data/v3/packed_B n_seq=500251 seq_len=512 tokenizer_sha256=ff99beb3a8ea206d… doc_order_sha256=7d204f346dc15680…
packed run: total_updates=7339 tokens_per_update=16352 total_tokens_requested=120000000 schedule=wsd
update [4500/7339] lr=0.00020000 loss_nats_per_target=3.1968 bpb=0.9960 grad_norm=0.7860 tokens_cum=73584000/120000000
update [4600/7339] lr=0.00020000 loss_nats_per_target=3.0380 bpb=0.9029 grad_norm=0.7694 tokens_cum=75219200/120000000
update [4700/7339] lr=0.00020000 loss_nats_per_target=3.0466 bpb=0.9652 grad_norm=0.7447 tokens_cum=76854400/120000000
update [4800/7339] lr=0.00020000 loss_nats_per_target=2.9497 bpb=0.9611 grad_norm=0.7564 tokens_cum=78489600/120000000
update [4900/7339] lr=0.00020000 loss_nats_per_target=3.1738 bpb=0.9309 grad_norm=0.7599 tokens_cum=80124800/120000000
update [5000/7339] lr=0.00020000 loss_nats_per_target=3.1223 bpb=0.9285 grad_norm=0.7383 tokens_cum=81760000/120000000
update [5100/7339] lr=0.00020000 loss_nats_per_target=3.0633 bpb=1.0213 grad_norm=0.7607 tokens_cum=83395200/120000000
update [5200/7339] lr=0.00020000 loss_nats_per_target=3.0835 bpb=0.9357 grad_norm=0.7320 tokens_cum=85030400/120000000
update [5300/7339] lr=0.00020000 loss_nats_per_target=3.1259 bpb=0.9825 grad_norm=0.7307 tokens_cum=86665600/120000000
update [5400/7339] lr=0.00020000 loss_nats_per_target=3.1020 bpb=1.0541 grad_norm=0.7593 tokens_cum=88300800/120000000
update [5500/7339] lr=0.00020000 loss_nats_per_target=3.1101 bpb=0.9271 grad_norm=0.7508 tokens_cum=89936000/120000000
update [5600/7339] lr=0.00020000 loss_nats_per_target=3.0482 bpb=0.9700 grad_norm=0.7575 tokens_cum=91571200/120000000
update [5700/7339] lr=0.00020000 loss_nats_per_target=3.1359 bpb=0.9268 grad_norm=0.7387 tokens_cum=93206400/120000000
update [5800/7339] lr=0.00020000 loss_nats_per_target=2.8823 bpb=0.9036 grad_norm=0.7250 tokens_cum=94841600/120000000
